order,job_id,company,job_title,city,role_category,language,requirement_id,source_text,normalized_requirement,source_section,requirement_type,importance,eligibility_category,knowledge_topics,knowledge_text,score_included,ai_match_label,ai_eligibility_status,ai_evidence_ids,ai_grounding_reason,human_taxonomy_decision,human_match_label,human_eligibility_status,human_evidence_ids,human_grounding_reason,human_edit,human_accept_reject,human_notes,review_status,v1_ref,job_ai_overall_fit_suggestion,job_human_match_fit,job_human_overall_fit
8,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,strategy_growth_fintech,Chinese,reqv2_625b09ad16b202a8,-加分项：有短视频、短剧、漫剧行业资深从业经验者优先；,短视频、短剧或漫剧行业资深从业经验,preferred,matchable,Preferred,,,,true,Missing,,,当前证据目录没有相关行业从业经历。,accepted AI taxonomy,Missing,,,当前证据目录没有相关行业从业经历。,,accept,,accepted,R05(Preferred/Missing),2,2,2
9,tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,strategy_growth_fintech,Chinese,reqv2_9d182166c3cb9ce2,1.本科及以上学历，3-5 年互联网产品经验，有用户增长、增长运营或内容平台产品经验优先；,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,本科与硕士教育记录直接满足本科及以上学历。,accepted AI taxonomy,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,本科与硕士教育记录直接满足本科及以上学历。,,accept,,accepted,R01(Critical/Strong),3,4,4
9,tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,strategy_growth_fintech,Chinese,reqv2_648e3cbb6c5e8231,1.本科及以上学历，3-5 年互联网产品经验，有用户增长、增长运营或内容平台产品经验优先；,三至五年互联网产品经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证产品经历明显不足三年。,accepted AI taxonomy,,PotentialGap,,候选人为 2027 届应届，已验证产品经历明显不足三年。,,accept,,accepted,R02(Critical/Partial),3,4,4
9,tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,strategy_growth_fintech,Chinese,reqv2_b741297aa944df7f,有用户增长、增长运营或内容平台产品经验优先；,用户增长、增长运营或内容平台产品经验,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:16|resume_extracted:19|resume_extracted:resume:1:domain_experience:3,KPay 经历直接覆盖增长策略、增长运营与转化优化。,accepted AI taxonomy,Strong,,resume_extracted:16|resume_extracted:19|resume_extracted:resume:1:domain_experience:3,KPay 经历直接覆盖增长策略、增长运营与转化优化。,,accept,,accepted,R03(Preferred/Strong),3,4,4
9,tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,strategy_growth_fintech,Chinese,reqv2_02360706ab26d285,2.具备完整的增长方法论与项目落地经验，,增长方法论与项目落地经验,requirements,matchable,Important,,,,true,Strong,,resume_extracted:16|resume_extracted:19,渠道增长框架、KPI 与转化路径优化构成完整且落地的增长实践。,accepted AI taxonomy,Strong,,resume_extracted:16|resume_extracted:19,渠道增长框架、KPI 与转化路径优化构成完整且落地的增长实践。,,accept,,accepted,R04(Important/Strong),3,4,4
9,tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,strategy_growth_fintech,Chinese,reqv2_55b9c7ddc30bd02b,数据敏感度高，逻辑清晰，,数据敏感度与逻辑能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:30,多项数据分析、KPI 与机器学习项目提供直接支持。,accepted AI taxonomy,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:30,多项数据分析、KPI 与机器学习项目提供直接支持。,,accept,,accepted,R05(Important/Strong),3,4,4
9,tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,strategy_growth_fintech,Chinese,reqv2_7ed93fe4bb09d26f,熟练通过数据分析与 AB 实验驱动产品迭代；,通过数据分析驱动产品迭代,requirements,matchable,Important,,,,true,Strong,,resume_extracted:19|resume_extracted:27|resume_extracted:resume:1:product_experience:9,数据驱动的转化优化与用户反馈迭代记录直接覆盖。,accepted AI taxonomy,Strong,,resume_extracted:19|resume_extracted:27|resume_extracted:resume:1:product_experience:9,数据驱动的转化优化与用户反馈迭代记录直接覆盖。,,accept,,accepted,R06(Important/Strong),3,4,4
9,tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,strategy_growth_fintech,Chinese,reqv2_cd8c089c6f3c4688,熟练通过数据分析与 AB 实验驱动产品迭代；,通过 AB 实验驱动产品迭代,requirements,matchable,Important,,,,true,Missing,,,当前已验证证据没有 AB 实验设计或执行记录。复合拆分：候选人对数据分析有证据、对 AB 实验没有（沿用 V1 拆分）。,accepted AI taxonomy,Missing,,,当前已验证证据没有 AB 实验设计或执行记录。复合拆分：候选人对数据分析有证据、对 AB 实验没有（沿用 V1 拆分）。,,accept,,accepted,R07(Important/Missing),3,4,4
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_d9c11895b9f4fefd,"简体中文,英语",具备简体中文与英语工作能力,requirements,eligibility,Critical,language,,,false,,Unknown,resume_extracted:resume:1:skills:16,主简历确认英语精通；候选人材料与档案为中文，但证据目录没有独立的中文语言事实，保守判为待确认。,accepted AI taxonomy,,Supported,resume_extracted:resume:1:skills:16,英语工作能力由已验证简历语言事实支持；中文为候选人人工确认的母语，因此该语言门槛整体判为 Supported。,AI 建议 Unknown → 人工改为 Supported。,accept,中文母语属于本次人工 Ground Truth 确认事实；不因此新增 JobPilot 产品字段，也不修改 Candidate Profile；该 edge case 不升级为产品需求。未改动冻结候选人证据快照，未新增证据项。,edited,R01(Critical/Strong),1,2,2
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_f1d30f6366ec29b4,本科及以上,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与硕士教育记录直接满足。,accepted AI taxonomy,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与硕士教育记录直接满足。,,accept,,accepted,R02(Critical/Strong),1,2,2
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_5e2cf4ee89770c19,1. 有 5 年以上工作经验；,五年以上工作经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证时长远不足五年。,accepted AI taxonomy,,PotentialGap,,候选人为 2027 届应届，已验证时长远不足五年。,,accept,,accepted,R03(Critical/Partial),1,2,2
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_c88202cea56f40e4,2. 有较强的逻辑/概率思维能力，善于分析、归纳、描述、沟通、和解决问题；,逻辑/概率思维、分析归纳、沟通与问题解决能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:19|resume_extracted:30|resume_extracted:28,统计分析、机器学习、业务分析及跨团队沟通形成多项直接证据。,accepted AI taxonomy,Strong,,resume_extracted:19|resume_extracted:30|resume_extracted:28,统计分析、机器学习、业务分析及跨团队沟通形成多项直接证据。,,accept,,accepted,R04(Important/Strong),1,2,2
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_760a977b196001a0,3. 能独立承担系统设计、开发、调测等开发任务；,独立承担系统设计、开发与调测,requirements,matchable,Important,,,,true,Partial,,resume_extracted:28|resume_extracted:resume:1:technical_experience:8,有系统设计与 LLM 后端集成经历，但没有独立承担大型 AI Infra 开发调测的证据。,accepted AI taxonomy,Partial,,resume_extracted:28|resume_extracted:resume:1:technical_experience:8,有系统设计与 LLM 后端集成经历，但没有独立承担大型 AI Infra 开发调测的证据。,,accept,,accepted,R05(Important/Partial),1,2,2
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_a7e657643b65384a,4. 能快速接受和掌握新技术，有较强的独立、主动的学习能力。,快速掌握新技术的能力,requirements,matchable,Important,,,,true,Partial,,resume_extracted:21|resume_extracted:28|resume_extracted:29,跨 LLM、NLP 与产品技术的经历可间接支持，但学习速度与主动性没有直接量化事实。,accepted AI taxonomy,Partial,,resume_extracted:21|resume_extracted:28|resume_extracted:29,跨 LLM、NLP 与产品技术的经历可间接支持，但学习速度与主动性没有直接量化事实。,保留为 matchable/Partial；同句“独立、主动的学习能力”移出评分，作为 subjective expectation。,accept,保留‘快速掌握新技术的能力’为 matchable / Partial；同句中的‘独立、主动的学习能力’属于主观态度/学习意愿，不应进入 Match Score，应作为 subjective expectation 非评分处理。,edited,R06(Important/Partial),1,2,2
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_c2f1c7d80e0cbd8a,1. 熟练掌握 Python、C++等编程语言；,熟练使用 Python 与 C++,requirements,matchable,Important,,,,true,Strong,,resume_extracted:resume:1:skills:0|resume_extracted:resume:1:skills:1|resume_extracted:30,技能目录明确列出 Python、C/C++，且 Python 数据项目提供实践支持。,accepted AI taxonomy,Partial,,resume_extracted:resume:1:skills:0|resume_extracted:resume:1:skills:1|resume_extracted:30,Python 有明确项目实践；C/C++ 目前仅有技能声明，没有直接项目/开发证据，不足以充分证明两类语言均达到‘熟练掌握’，因此判为 Partial。,AI 建议 Strong → 人工改为 Partial；保留 Python 与 C/C++ 证据。,accept,,edited,R08(Important/Strong),1,2,2
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_e0081ebe3ba8d89c,2. 具备计算机系统、软件设计、AI模型或者集合通信等专业知识中的一种或多种；,具备计算机系统、软件设计或 AI 模型等专业知识,requirements,knowledge,Important,,计算机系统|软件设计|AI 模型|集合通信,要求具备计算机系统 / 软件设计 / AI 模型 / 集合通信等专业知识中的一种或多种；措辞为“专业知识”，属概念性掌握。,false,N/A,,,,accepted AI taxonomy,N/A,,,,,accept,,accepted,R09(Important/Strong),1,2,2
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_ff03d799ae69c39a,3. 了解大模型相关的概念和知识。,了解大模型相关概念与知识,requirements,knowledge,Important,,大模型概念,要求了解大模型相关概念与知识；明确为“概念和知识”，属理论理解。,false,N/A,,,,accepted AI taxonomy,N/A,,,,,accept,,accepted,R10(Important/Strong),1,2,2
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_8d3486b1ed5364ec,4. 了解大模型训练原理，强化学习原理,理解大模型训练原理与强化学习原理,requirements,knowledge,Important,,大模型训练原理|强化学习(RLHF)原理,要求理解大模型训练与强化学习的原理；典型理论理解要求（edge case B 类）。,false,N/A,,,,accepted AI taxonomy,N/A,,,,,accept,,accepted,R11(Important/Partial),1,2,2
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_1c9199d15075aa37,5. 有大模型精度调优经验，有基模训练经验或者RL训练经验,大模型精度调优、基模或强化学习训练经验,requirements,matchable,Important,,,,true,Partial,,resume_extracted:22|resume_extracted:resume:1:ai_experience:11,有一般模型训练支持与性能评估，但并非明确的大模型基模或 RL 训练经验（“经验”属实操，归 matchable）。,accepted AI taxonomy,Missing,,,冻结证据仅支持一般模型训练辅助与模型性能评估，不能直接证明大模型精度调优、基模训练或强化学习训练经验；技术相邻不足以判为 Partial。,AI 建议 Partial → 人工改为 Missing；human_evidence_ids 清空。,accept,,edited,R12(Important/Partial),1,2,2
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_07703f4446ef3b8b,6. 了解算子融合、量化、KV压缩、投机推理、PD分离等常用大模型推理技术,理解大模型推理优化技术（算子融合/量化/KV 压缩/投机推理/PD 分离）,requirements,knowledge,Important,,大模型推理优化|算子融合|量化|KV 压缩|投机推理|PD 分离,要求了解常用大模型推理优化技术；属于机制/技术原理理解（taxonomy 明确示例：inference optimization）。,false,N/A,,,,accepted AI taxonomy,N/A,,,,,accept,,accepted,R13(Important/Missing),1,2,2
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_80ee520d35aba9cc,7. 熟悉大模型推理框架(如vLLM、SGLang等)优先,熟悉 vLLM、SGLang 等大模型推理框架,preferred,matchable,Preferred,,,,true,Missing,,,当前证据目录没有相关推理框架使用经验（工具熟悉度属实操，归 matchable）。,accepted AI taxonomy,Missing,,,当前证据目录没有相关推理框架使用经验（工具熟悉度属实操，归 matchable）。,,accept,,accepted,R14(Preferred/Missing),1,2,2
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_add5785a52626200,8. 有GPU/国产计算卡算子开发经验优先,GPU 或国产计算卡算子开发经验,preferred,matchable,Preferred,,,,true,Missing,,,当前证据目录没有算子或计算卡开发经验。,accepted AI taxonomy,Missing,,,当前证据目录没有算子或计算卡开发经验。,,accept,,accepted,R15(Preferred/Missing),1,2,2
10,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,reqv2_c9a1b9d71f995b37,9. 有顶会论文者优先,顶级会议论文发表,preferred,matchable,Preferred,,,,true,Missing,,,当前证据目录没有论文发表记录（可核验的成果型加分项，归 matchable Preferred）。,accepted AI taxonomy,Missing,,,当前证据目录没有论文发表记录（可核验的成果型加分项，归 matchable Preferred）。,,accept,,accepted,R16(Preferred/Missing),1,2,2
