order,job_id,company,job_title,city,recruitment_type,role_category,pilot_reference,requirement_id,source_text,normalized_requirement,source_section,requirement_type,importance,eligibility_category,knowledge_topics,knowledge_text,score_included,ai_match_label,ai_eligibility_status,ai_evidence_ids,ai_grounding_reason,human_taxonomy_decision,human_match_label,human_eligibility_status,human_evidence_ids,human_grounding_reason,human_edit,human_accept_reject,human_notes,review_status,job_human_match_fit
11,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,experienced,ai_product,true,reqv2_377262a20b779d20,一年以上 AI/Agent 产品经验，有完整落地项目经历；计算机科学或相关技术领域的本科及以上学历；,具有完整 AI 产品落地经历,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 记录覆盖需求、设计、跨职能协作、迭代交付与上线功能，构成完整落地经历。,accepted AI taxonomy,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 记录覆盖需求、设计、跨职能协作、迭代交付与上线功能，构成完整落地经历。,,accept,,accepted,4
11,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,experienced,ai_product,true,reqv2_f25785d85ec31cad,对AI行业趋势和大模型技术有较为深刻的理解和热情，具备 Agent 评测相关经验者优先，能够与工程师在Agent架构层面有效对焦；,深入理解 AI 行业趋势与大模型技术,requirements,knowledge,Important,,大模型技术|AI 行业趋势,要求对大模型技术与 AI 行业趋势具备较为深刻的理解；属于概念/趋势理解，履历证据难以稳定证明理解深度。,false,N/A,,,,accepted AI taxonomy,N/A,,,,,accept,,accepted,4
11,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,experienced,ai_product,true,reqv2_f10bb045c924ce66,对AI行业趋势和大模型技术有较为深刻的理解和热情，具备 Agent 评测相关经验者优先，能够与工程师在Agent架构层面有效对焦；,Agent 评测经验,preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:resume:1:ai_experience:11|resume_extracted:28,有模型性能评估与 Agent 类产品测试经历，但没有针对 Agent 的专项评测体系证据。,accepted AI taxonomy,Partial,,resume_extracted:resume:1:ai_experience:11|resume_extracted:28,有模型性能评估与 Agent 类产品测试经历，但没有针对 Agent 的专项评测体系证据。,,accept,,accepted,4
11,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,experienced,ai_product,true,reqv2_17b2403b35e713d3,对AI行业趋势和大模型技术有较为深刻的理解和热情，具备 Agent 评测相关经验者优先，能够与工程师在Agent架构层面有效对焦；,能与工程团队在 Agent 架构层面有效对齐,requirements,matchable,Important,,,,true,Partial,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,有 LLM 后端集成与跨前后端/AI 团队协作记录，但没有在 Agent 架构层面与工程师对齐的直接证据。,accepted AI taxonomy,Partial,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,有 LLM 后端集成与跨前后端/AI 团队协作记录，但没有在 Agent 架构层面与工程师对齐的直接证据。,,accept,,accepted,4
11,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,experienced,ai_product,true,reqv2_2f350c257de37080,注重用户体验和反馈，具备较好的动手能力、逻辑能力、系统思考能力和表达能力，实事求是；,用户反馈驱动、动手验证与系统思考能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,多段经历记录客户反馈分析、产品流程设计、亲自验证与跨团队表达。,accepted AI taxonomy,Strong,,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,多段经历记录客户反馈分析、产品流程设计、亲自验证与跨团队表达。,,accept,,accepted,4
11,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,experienced,ai_product,true,reqv2_e0d891d785e65c39,有对话/推荐/搜索、知识管理、开放平台/插件/Agent/MCP 生态、AI 效率工具等相关产品经验者优先。,相关 AI 产品生态经验（对话/推荐/搜索/知识管理/开放平台/MCP/AI 工具）,preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:28|resume_extracted:resume:1:ai_experience:4,具备对话式 Agent、RAG 与 AI 工具经验，但没有开放平台、插件或 MCP 生态的明确证据。,accepted AI taxonomy,Partial,,resume_extracted:28|resume_extracted:resume:1:ai_experience:4,具备对话式 Agent、RAG 与 AI 工具经验，但没有开放平台、插件或 MCP 生态的明确证据。,,accept,,accepted,4
12,tencent:2077347119940939776,腾讯,QQ-Agent产品经理,深圳,experienced,ai_product,false,reqv2_7ae14546230261ed,1.本科及以上学历，3年以上产品经理工作经验，有AI Agent、大模型应用或智能助手类产品经验者优先；,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,eligibility,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,,accept,,accepted,5
12,tencent:2077347119940939776,腾讯,QQ-Agent产品经理,深圳,experienced,ai_product,false,reqv2_40daa47ca53bd55c,1.本科及以上学历，3年以上产品经理工作经验，有AI Agent、大模型应用或智能助手类产品经验者优先；,三年以上产品经理工作经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证产品经历明显不足三年。,eligibility,,PotentialGap,,候选人为 2027 届应届，已验证产品经历明显不足三年。,,accept,,accepted,5
12,tencent:2077347119940939776,腾讯,QQ-Agent产品经理,深圳,experienced,ai_product,false,reqv2_9149c4b1d212048c,1.本科及以上学历，3年以上产品经理工作经验，有AI Agent、大模型应用或智能助手类产品经验者优先；,AI Agent、大模型应用或智能助手类产品经验,preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,GoFin 的对话式 Agent 与 LLM 应用属于大模型应用产品经验，方向相邻。,matchable,Strong,,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,JD 为 AI Agent / 大模型应用 / 智能助手类产品经验的可替代方向要求。GoFin 已有明确 LLM / 对话式 Agent 产品化落地，直接满足至少一个允许方向，不应因未覆盖全部列举方向而降为 Partial。,AI Partial → Human Strong（OR-list：满足其一即可）。,accept,,edited,5
12,tencent:2077347119940939776,腾讯,QQ-Agent产品经理,深圳,experienced,ai_product,false,reqv2_b859ca7e376ed300,2.熟悉自然语言处理、意图理解、Agent架构等技术原理，有一定的技术理解能力；,熟悉自然语言处理、意图理解、Agent 架构等技术原理,requirements,knowledge,Important,,自然语言处理|意图理解|Agent 架构,要求熟悉 NLP / 意图理解 / Agent 架构等技术原理；属理论/架构理解。,false,N/A,,,,knowledge,N/A,,,,,accept,,accepted,5
13,tencent:1978467627152072704,腾讯,微信输入法-AI产品经理,广州,experienced,ai_product,false,reqv2_f03c3b8e69981cd9,1.较强的学习能力和好奇心，对 AI 和大模型技术有深刻理解与热情，能快速跟进前沿研究并转化为可落地的产品方案；,对 AI 和大模型技术有深刻理解,requirements,knowledge,Important,,AI 技术|大模型技术,要求对 AI 与大模型技术有深刻理解；属理论理解。,false,N/A,,,,knowledge,N/A,,,,,accept,,accepted,4
13,tencent:1978467627152072704,腾讯,微信输入法-AI产品经理,广州,experienced,ai_product,false,reqv2_aca2f21646c44438,1.较强的学习能力和好奇心，对 AI 和大模型技术有深刻理解与热情，能快速跟进前沿研究并转化为可落地的产品方案；,将前沿研究转化为可落地产品方案,requirements,matchable,Important,,,,true,Partial,,resume_extracted:21|resume_extracted:28,有从大模型探索到 LLM/RAG 产品落地的经历，但“快速跟进前沿研究”缺少直接量化证据。,matchable,Partial,,resume_extracted:21|resume_extracted:28,有从大模型探索到 LLM/RAG 产品落地的经历，但“快速跟进前沿研究”缺少直接量化证据。,,accept,,accepted,4
13,tencent:1978467627152072704,腾讯,微信输入法-AI产品经理,广州,experienced,ai_product,false,reqv2_379e8bc24f903143,2.有 C 端 AI 产品经验，熟悉 LLM、Agent、多模态交互、语音交互（ASR）等至少一个方向的产品化落地；有 AI 评测体系搭建、策略产品经验者优先；,C 端 AI 产品经验（LLM/Agent 等方向产品化落地）,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,GoFin 的 LLM / 对话式 Agent 产品化落地满足“至少一个方向”。,matchable,Strong,,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,GoFin 的 LLM / 对话式 Agent 产品化落地满足“至少一个方向”。,,accept,§8：候选人人工确认 GoFin 为 C 端 / consumer-facing AI 产品；冻结证据同时明确支持 LLM / Agent 产品化落地，因此该 requirement 的 Human Ground Truth 为 Strong。此人工事实仅属人工裁定。,accepted,4
13,tencent:1978467627152072704,腾讯,微信输入法-AI产品经理,广州,experienced,ai_product,false,reqv2_e402249eb2353772,2.有 C 端 AI 产品经验，熟悉 LLM、Agent、多模态交互、语音交互（ASR）等至少一个方向的产品化落地；有 AI 评测体系搭建、策略产品经验者优先；,AI 评测体系搭建或策略产品经验,preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:resume:1:ai_experience:11|resume_extracted:28,有模型性能评估经历，但没有搭建 AI 评测体系或策略产品的直接证据。,matchable,Partial,,resume_extracted:resume:1:ai_experience:11|resume_extracted:28,有模型性能评估经历，但没有搭建 AI 评测体系或策略产品的直接证据。,,accept,,accepted,4
13,tencent:1978467627152072704,腾讯,微信输入法-AI产品经理,广州,experienced,ai_product,false,reqv2_9fcda4bdee2f02df,3.较好的用户思维，对用户输入行为、表达需求和交互体验有敏锐洞察，能通过数据分析和用户研究驱动产品决策；,用户洞察与数据/用研驱动决策,requirements,matchable,Important,,,,true,Strong,,resume_extracted:19|resume_extracted:27|resume_extracted:resume:1:product_experience:7,数据分析、客户反馈与用户测试迭代记录直接支持。,matchable,Strong,,resume_extracted:19|resume_extracted:27|resume_extracted:resume:1:product_experience:7,数据分析、客户反馈与用户测试迭代记录直接支持。,,accept,,accepted,4
13,tencent:1978467627152072704,腾讯,微信输入法-AI产品经理,广州,experienced,ai_product,false,reqv2_331e5372454cf54a,4.出色的系统性思考与问题拆解能力，逻辑清晰，能独立负责复杂产品模块的从 0 到 1；,系统性思考、问题拆解与从 0 到 1,requirements,matchable,Important,,,,true,Partial,,resume_extracted:28,GoFin 支持从需求到交付的主导，但没有独立量化的复杂模块 0→1 成果。,matchable,Partial,,resume_extracted:28,GoFin 支持从需求到交付的主导，但没有独立量化的复杂模块 0→1 成果。,,accept,,accepted,4
13,tencent:1978467627152072704,腾讯,微信输入法-AI产品经理,广州,experienced,ai_product,false,reqv2_8fde0b9d53173e67,5.对文字、语音、内容创作等场景有审美和感受力，能结合用户真实使用场景为模型制定贴合需求的任务目标与效果标准；,为模型制定任务目标与效果标准,requirements,matchable,Important,,,,true,Partial,,resume_extracted:resume:1:ai_experience:11|resume_extracted:22,有模型评估与效果衡量经历，可部分支持制定任务目标与效果标准；“审美和感受力”偏主观。,matchable,Partial,,resume_extracted:resume:1:ai_experience:11|resume_extracted:22,有模型评估与效果衡量经历，可部分支持制定任务目标与效果标准；“审美和感受力”偏主观。,,accept,K3：“审美和感受力”属非评分主观上下文；可衡量的任务目标/效果标准能力保持 matchable/Partial。,accepted,4
13,tencent:1978467627152072704,腾讯,微信输入法-AI产品经理,广州,experienced,ai_product,false,reqv2_3d113582071bb486,6.优秀的执行力与推动力，能高效协同算法、工程、设计、测试等多角色团队，抗压能力强；,跨职能协同（算法/工程/设计/测试）,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,GoFin 的跨前后端、AI、数据库、测试协作构成直接证据。,matchable,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,GoFin 的跨前后端、AI、数据库、测试协作构成直接证据。,,accept,,accepted,4
13,tencent:1978467627152072704,腾讯,微信输入法-AI产品经理,广州,experienced,ai_product,false,reqv2_c928a633c77209d8,7.一年及以上产品工作经验；曾经有算法工作经验的同学优先。,一年以上产品工作经验,experience,eligibility,Critical,experience_years,,,false,,Unknown,,候选人有多段产品相关实习与项目，是否累计满一年专职产品经验证据不足；无明确冲突。,eligibility,,Unknown,,候选人有多段产品相关实习与项目，是否累计满一年专职产品经验证据不足；无明确冲突。,,accept,,accepted,4
13,tencent:1978467627152072704,腾讯,微信输入法-AI产品经理,广州,experienced,ai_product,false,reqv2_0d2628dae4ed1e9d,7.一年及以上产品工作经验；曾经有算法工作经验的同学优先。,算法工作经验,preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:22|resume_extracted:29,有 NLP 项目与模型训练支持经历，属算法相邻经验，非专职算法岗。,matchable,Partial,,resume_extracted:22|resume_extracted:29,有 NLP 项目与模型训练支持经历，属算法相邻经验，非专职算法岗。,,accept,,accepted,4
14,tencent:2036621556322562048,腾讯,腾讯会议-AI产品经理-ASR方向,深圳,experienced,ai_product,false,reqv2_eb5f03df4d5510ab,1.本科及以上学历，3年以上智能语音、自然语言处理或其他AI相关领域的产品经验；,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,eligibility,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,,accept,,accepted,3
14,tencent:2036621556322562048,腾讯,腾讯会议-AI产品经理-ASR方向,深圳,experienced,ai_product,false,reqv2_ec3870365b19bae7,1.本科及以上学历，3年以上智能语音、自然语言处理或其他AI相关领域的产品经验；,三年以上智能语音 / NLP / AI 相关领域产品经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证 AI 相关经历为实习与项目，明显不足三年。,eligibility,,PotentialGap,,候选人为 2027 届应届，已验证 AI 相关经历为实习与项目，明显不足三年。,,accept,,accepted,3
14,tencent:2036621556322562048,腾讯,腾讯会议-AI产品经理-ASR方向,深圳,experienced,ai_product,false,reqv2_5685d10f28aca7c2,2.熟悉语音识别、语义理解、语音合成等语音交互相关技术，掌握语音产品性能评估方法；,熟悉语音交互相关技术（ASR / 语义理解 / TTS）,requirements,matchable,Important,,,,true,Missing,,,有 NLP 情感分析项目，但没有语音识别 / 语音合成等语音交互技术的已验证经历。,matchable,Missing,,,有 NLP 情感分析项目，但没有语音识别 / 语音合成等语音交互技术的已验证经历。,,accept,,accepted,3
14,tencent:2036621556322562048,腾讯,腾讯会议-AI产品经理-ASR方向,深圳,experienced,ai_product,false,reqv2_1125bb9c519be4f4,2.熟悉语音识别、语义理解、语音合成等语音交互相关技术，掌握语音产品性能评估方法；,掌握语音产品性能评估方法,requirements,matchable,Important,,,,true,Partial,,resume_extracted:resume:1:ai_experience:11|resume_extracted:22,有模型性能评估经历，属相邻能力，但非语音产品专项评估方法。,matchable,Partial,,resume_extracted:resume:1:ai_experience:11|resume_extracted:22,有模型性能评估经历，属相邻能力，但非语音产品专项评估方法。,,accept,,accepted,3
14,tencent:2036621556322562048,腾讯,腾讯会议-AI产品经理-ASR方向,深圳,experienced,ai_product,false,reqv2_e913e8618fce3ef0,3.具备敏锐的用户感知力，对产品体验有极致追求，能够主动发现并解决问题。,用户感知力与问题发现解决能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:27|resume_extracted:19,客户反馈分析与转化路径优化支持用户感知与主动发现并解决问题。,matchable,Strong,,resume_extracted:27|resume_extracted:19,客户反馈分析与转化路径优化支持用户感知与主动发现并解决问题。,,accept,,accepted,3
15,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,experienced,ai_product,true,reqv2_0d9131868b5ea866,3年以上互联网产品经验，有Ai原生产品、Agent应用或复杂C端工具/内容产品的完整落地经验。,三年以上互联网产品经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证经历为若干实习与项目，明显不足三年职业产品经验；不将项目折算为职业年限。,accepted AI taxonomy,,PotentialGap,,候选人为 2027 届应届，已验证经历为若干实习与项目，明显不足三年职业产品经验；不将项目折算为职业年限。,,accept,,accepted,4
15,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,experienced,ai_product,true,reqv2_5dfabc3bf0e9566f,有Ai原生产品、Agent应用或复杂C端工具/内容产品的完整落地经验。,具有 AI 原生或 Agent 产品完整落地经验,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 是完整交付的 LLM/对话式产品，覆盖需求到迭代落地。,accepted AI taxonomy,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 是完整交付的 LLM/对话式产品，覆盖需求到迭代落地。,,accept,,accepted,4
15,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,experienced,ai_product,true,reqv2_8a7ced10d1e674e6,具备从0到1主导项目并取得可验证成果的经历；,从 0 到 1 主导项目并取得可验证成果,requirements,matchable,Important,,,,true,Partial,,resume_extracted:28,Product Owner 经历支持从需求到交付的主导，但材料没有独立量化该产品的业务成果。,accepted AI taxonomy,Partial,,resume_extracted:28,Product Owner 经历支持从需求到交付的主导，但材料没有独立量化该产品的业务成果。,,accept,,accepted,4
15,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,experienced,ai_product,true,reqv2_062e201cf241f5a9,对证券业务有深刻理解或极强的学习意愿；,理解证券业务,requirements,matchable,Important,,,,true,Partial,,resume_extracted:24|resume_extracted:resume:1:education:0|resume_extracted:resume:1:domain_experience:0,金融科技教育与基金、股票产品实践与证券相邻，但不足以证明对证券业务的深刻理解。,accepted AI taxonomy,Partial,,resume_extracted:24|resume_extracted:resume:1:education:0|resume_extracted:resume:1:domain_experience:0,金融科技教育与基金、股票产品实践与证券相邻，但不足以证明对证券业务的深刻理解。,,accept,,accepted,4
15,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,experienced,ai_product,true,reqv2_672bbf0c117235a4,深入了解大模型、Agent、RAG等技术的原理、能力边界与应用场景，能前瞻性思考技术趋势与业务结合的创新点；,深入理解大模型、Agent、RAG 的原理与能力边界,requirements,knowledge,Important,,大模型原理|Agent 原理|RAG 原理|模型能力边界,要求理解大模型/Agent/RAG 的原理、能力边界与适用场景。属于理论理解，履历证据可证明实践（另见 R02、Job6 R06），但难以稳定证明原理与能力边界的掌握深度。,false,N/A,,,,accepted AI taxonomy,N/A,,,,,accept,,accepted,4
15,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,experienced,ai_product,true,reqv2_d51e7d995d268f8f,具备优秀的产品判断力与用户共情能力，,产品判断力与用户共情能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,需求分析、客户反馈与用户测试迭代记录直接支持该能力。,accepted AI taxonomy,Strong,,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,需求分析、客户反馈与用户测试迭代记录直接支持该能力。,,accept,,accepted,4
15,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,experienced,ai_product,true,reqv2_2aa26881dbfb4a32,设计稳健、可扩展的产品方案与协同流程，并推动跨团队项目高效闭环；,设计可扩展方案并推动跨团队闭环,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:product_experience:9,GoFin 的结构化流程、跨职能协调与迭代交付直接覆盖该要求。,accepted AI taxonomy,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:product_experience:9,GoFin 的结构化流程、跨职能协调与迭代交付直接覆盖该要求。,,accept,,accepted,4
15,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,experienced,ai_product,true,reqv2_07a1d9a0a5524dc6,有较好的数据驱动与科学评估能力，能设计并运用数据集/评测集等科学评估方法来衡量与推动Ai体验的效果，,数据驱动与 AI 评测能力,requirements,matchable,Important,,,,true,Partial,,resume_extracted:19|resume_extracted:22|resume_extracted:resume:1:ai_experience:11,具备 KPI、训练数据与模型评估经验，但未明确证明独立设计 AI 产品评测集。,accepted AI taxonomy,Partial,,resume_extracted:19|resume_extracted:22|resume_extracted:resume:1:ai_experience:11,具备 KPI、训练数据与模型评估经验，但未明确证明独立设计 AI 产品评测集。,,accept,,accepted,4
16,greenhouse:4186650005,SES AI,Data Product Manager,上海,full-time,data_product,false,reqv2_c41f681208400e09,"Bachelor’s degree or above, more than 3 years of data or algorithm product experience, with battery industry big data and algorithm product experience is preferred",Bachelor’s degree or above,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,Verified bachelor's degree and in-progress master's satisfy the threshold.,eligibility,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,Verified bachelor's degree and in-progress master's satisfy the threshold.,,accept,,accepted,2
16,greenhouse:4186650005,SES AI,Data Product Manager,上海,full-time,data_product,false,reqv2_0e3c1babd531dd44,"Bachelor’s degree or above, more than 3 years of data or algorithm product experience, with battery industry big data and algorithm product experience is preferred",more than 3 years of data or algorithm product experience,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,"Candidate is a 2027 new grad; verified experience is internships and projects, clearly under 3 years.",eligibility,,PotentialGap,,"Candidate is a 2027 new grad; verified experience is internships and projects, clearly under 3 years.",,accept,,accepted,2
16,greenhouse:4186650005,SES AI,Data Product Manager,上海,full-time,data_product,false,reqv2_8b7d40841783169e,"Bachelor’s degree or above, more than 3 years of data or algorithm product experience, with battery industry big data and algorithm product experience is preferred",battery-industry big-data / algorithm product experience,preferred,matchable,Preferred,,,,true,Missing,,,No battery-industry evidence in the frozen catalog.,matchable,Missing,,,No battery-industry evidence in the frozen catalog.,,accept,,accepted,2
16,greenhouse:4186650005,SES AI,Data Product Manager,上海,full-time,data_product,false,reqv2_b6366022b1c1d5ae,"Proficient in Axure and other product prototype tools; familiar with Tableau, PowerBI, FineBI, SQL and other data analysis tools is preferred",product prototyping tools (Axure),requirements,matchable,Important,,,,true,Missing,,,No Axure / prototyping-tool evidence in the frozen catalog.,matchable,Missing,,,No Axure / prototyping-tool evidence in the frozen catalog.,,accept,,accepted,2
16,greenhouse:4186650005,SES AI,Data Product Manager,上海,full-time,data_product,false,reqv2_eb1153f86b18ee41,"Proficient in Axure and other product prototype tools; familiar with Tableau, PowerBI, FineBI, SQL and other data analysis tools is preferred",data analysis tools (Tableau/PowerBI/FineBI/SQL),preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:18|resume_extracted:resume:1:skills:4,SQL practice and skill record are verified; the BI tools (Tableau/PowerBI/FineBI) are not evidenced.,matchable,Partial,,resume_extracted:18|resume_extracted:resume:1:skills:4,SQL practice and skill record are verified; the BI tools (Tableau/PowerBI/FineBI) are not evidenced.,,accept,,accepted,2
17,tencent:2077246089718837248,腾讯,光子 AI-数据平台产品经理,深圳,experienced,data_product,false,reqv2_a34d6ad524836074,1.本科及以上学历，3 年以上产品经理经验，有 B 端平台、数据平台、AI 平台、研发效能平台或企业内部系统产品经验优先；,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,eligibility,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,,accept,,accepted,4
17,tencent:2077246089718837248,腾讯,光子 AI-数据平台产品经理,深圳,experienced,data_product,false,reqv2_de1b8852dedb639b,1.本科及以上学历，3 年以上产品经理经验，有 B 端平台、数据平台、AI 平台、研发效能平台或企业内部系统产品经验优先；,三年以上产品经理经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证产品经历明显不足三年。,eligibility,,PotentialGap,,候选人为 2027 届应届，已验证产品经历明显不足三年。,,accept,,accepted,4
17,tencent:2077246089718837248,腾讯,光子 AI-数据平台产品经理,深圳,experienced,data_product,false,reqv2_f2105cecb6db9371,1.本科及以上学历，3 年以上产品经理经验，有 B 端平台、数据平台、AI 平台、研发效能平台或企业内部系统产品经验优先；,B 端 / 数据 / AI / 研发效能平台或企业内部系统产品经验,preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:28,GoFin 为可配置的 B 向平台产品负责人经历，与 B 端平台相邻，但非数据/AI/研发效能平台。,matchable,Partial,,resume_extracted:28,GoFin 为可配置的 B 向平台产品负责人经历，与 B 端平台相邻，但非数据/AI/研发效能平台。,,accept,候选人人工确认 GoFin 亦为 AI 平台；因此该 AI 平台 / B 端方向要求不判 Missing，保持 Partial —— GoFin 支持 AI 平台方向，但为项目制而非长期正式平台 PM 工作。此人工事实仅属人工裁定，未新增证据 ID。,accepted,4
17,tencent:2077246089718837248,腾讯,光子 AI-数据平台产品经理,深圳,experienced,data_product,false,reqv2_5b0126d99d34bf17,2.具备较强的结构化思维和抽象能力，能够将复杂业务流程拆解为清晰的产品模块、数据流程和权限关系；,结构化思维：将复杂业务拆解为产品模块 / 数据流程 / 权限,requirements,matchable,Important,,,,true,Strong,,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,数据架构设计与结构化产品流程构成直接证据。,matchable,Strong,,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,数据架构设计与结构化产品流程构成直接证据。,,accept,,accepted,4
18,tencent:2013806539382611968,腾讯,大数据产品经理（深圳/北京）,深圳,experienced,data_product,false,reqv2_d65a91721a2406a6,三年以上工作经验,三年以上工作经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证经历为实习与项目，明显不足三年。来源为冻结数据集结构化 experience_requirement 字段。,eligibility,,PotentialGap,,候选人为 2027 届应届，已验证经历为实习与项目，明显不足三年。来源为冻结数据集结构化 experience_requirement 字段。,,accept,,accepted,4
18,tencent:2013806539382611968,腾讯,大数据产品经理（深圳/北京）,深圳,experienced,data_product,false,reqv2_91500289fe78e7b4,熟悉数据开发、数据分析、SQL、指标体系、元数据、数据血缘、数据质量等基础概念；,数据开发 / 分析 / SQL / 指标体系 / 元数据 / 数据血缘 / 数据质量,requirements,matchable,Important,,,,true,Partial,,resume_extracted:18|resume_extracted:19|resume_extracted:resume:1:skills:4,SQL、数据分析与 ETL / 数据架构有直接证据；元数据、数据血缘等未被证据覆盖。,matchable,Partial,,resume_extracted:18|resume_extracted:19|resume_extracted:resume:1:skills:4,SQL、数据分析与 ETL / 数据架构有直接证据；元数据、数据血缘等未被证据覆盖。,,accept,K2：SQL、数据分析、ETL/数据架构有直接实践；元数据、数据血缘等覆盖不足，Partial。,accepted,4
18,tencent:2013806539382611968,腾讯,大数据产品经理（深圳/北京）,深圳,experienced,data_product,false,reqv2_7bd119d70d465e69,理解大模型、Prompt、RAG、Tool Calling、Workflow、Agent 等基本概念，了解 Agent 与普通问答产品的差异；,理解大模型、Prompt、RAG、Agent 等基本概念及 Agent 与问答产品差异,requirements,knowledge,Important,,大模型|Prompt|RAG|Tool Calling|Workflow|Agent|Agent 与问答产品差异,要求理解大模型 / Prompt / RAG / Agent 等基本概念及其差异；属概念理解。,false,N/A,,,,knowledge,N/A,,,,,accept,,accepted,4
